A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-313.3444122,431.9,0.2,0,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420337362,-0.597481438,-0.025016403,0
-313.3444122,431.7,0.10048719,0.026048705,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420337362,-0.597204762,-0.01256914,-0.003258547
-313.3704609,431.5995128,0.001582811,-0.034856987,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420372306,-0.59706575,-0.000197981,0.004360414
-313.3356039,431.59793,-0.096470803,-0.022691608,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420325547,-0.597063561,0.012066762,0.002838593
-313.3129123,431.6944008,-0.193432353,-0.017421243,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420295107,-0.597197016,0.024194908,0.0021793
-313.2954911,431.8878332,-0.289061874,-0.019003581,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420271737,-0.597464607,0.036156441,0.002377242
-313.2764875,432.176895,-0.383121019,-0.02738796,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420246245,-0.597864489,0.047921549,0.003426081
-313.2490995,432.560016,-0.475373358,-0.042515432,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420209505,-0.598394491,0.059460657,0.005318443
-313.2065841,433.0353894,-0.565584661,-0.06431883,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420152472,-0.599052112,0.070744469,0.008045926
-313.1422653,433.6009741,-0.653523185,-0.092722859,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.420066192,-0.59983453,0.081743996,0.011599111
-313.0495424,434.2544973,-0.738959956,-0.127644178,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.419941808,-0.6007386,0.0924306,0.015967572
-312.9218982,434.9934572,-0.821669048,-0.168991506,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.419770579,-0.601760862,0.102776019,0.021139892
-312.7529067,435.8151263,-0.901427857,-0.216665736,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.419543885,-0.602897542,0.112752412,0.027103671
-312.536241,436.7165541,-0.978017376,-0.270560048,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.419253237,-0.604144558,0.122332383,0.033845548
-312.2656809,437.6945715,-1.051222457,-0.330560048,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.418890293,-0.605497527,0.131489022,0.041351213
-311.9351209,438.7457939,-1.120832076,-0.396543901,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.418446862,-0.606951766,0.140195933,0.049605423
-311.538577,439.866626,-1.18663959,-0.468382482,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.417914916,-0.608502302,0.14842727,0.058592028
